,vader_sentiment_label,vader_score,clean_tweet
42,1,0.4939,#Corona #vibes 🤣 ❤️ @ Panadura Sri Lanka https://t.co/xQAxC4lNSy
43,1,0.9158,#Anbu Out Now digital platforms!!! SHARE THE LOVE!!! #corona #fightcorona #loveunites @ Urban Records Entertainment https://t.co/at4M6kjpb4
44,1,0.8797,First time visited branch. Ordered Thin Crust Black Chicken Pizza. Yummy! Order came within 15 minutes. Very clean friendly staff. They follow strict hygiene protocols Corona protocols. #batticaloa #pizzahut #blackchicken #lka https://t.co/iCzFqScGpS
45,1,0.8176,"#Corona #රැස්පෙක්ට් ""ස"" tuktuks P.c: @nuwan528 #ceylontuktuks #srilanka #lka #travel #tuktuks #tuktukwisdom #corona #fun #streetphotography #travelphotography #love @ Sri Lanka https://t.co/3CoTE1pJh2"
46,1,0.2481,Y’all think corona patients treated care mentions N #News 😂 Life miserable ! No wonder people wanna run away #CancelTheLockdown #COVID19SL #COVID19LK #lka #colombo #CoronaVirusUpdates https://t.co/mwf8V15dQN
47,0,0.0,Oh boy !! Is corona ? #COVID19LK #lka #coronavirus #Colombo #Ragama https://t.co/fVqyTNQAb0
48,1,0.75,"ගාල්ල corona ඒකකය සඳහා කොට්ට හා උර 300 ක් ලබාදීමට කැමති අය සම්බන්ධ වන්න ☎️0718014857 (Hikkaduwa Hospital / 0912277261 (සුදු පාට උනොත් ගොඩාක් හොඳයි )වෙද්‍ය දර්ෂණ අනුරාධ මහතාගේපණිවුඩයක් ,ආරච්චිකන්ද රෝහල.Galle corona unit /Hikkaduwa,Arachchikanda #hospital need kind #Help! https://t.co/82JsVZ0KgB"
49,1,0.6369,"Freedom, something can't buy days 🍹 #Covid_19 #Covid19 #CoronaVirus #Corona #Virus #StayHome #StaySafe SUBSCRIBE | https://t.co/sMDyfeaX2u @ Colombo, Sri Lanka https://t.co/JcLe3uzmC4"
50,0,0.0,CORONA TIME ART EVENT WITH ( PRAVIYA VLOGS ) https://t.co/xLr2CR7y7E
51,1,0.957,"Happy birthday buddy, hope safe awesome free CORONA day🍺.... GUMBAY!!!🍻🍹🍸🍷🍾🥃 @ Sri Lanka https://t.co/LmHcnwcbwh"
52,0,0.0,"#corona 😷😷😷 #covid_19 #covid @ Dehiattekandiya, Sri Lanka https://t.co/LFpZARQzcn"
53,1,0.2023,உலக வரலாற்றில் முதல் தொடர் கொலைகாரன் 200 மேற்பட்ட சிறுவர் கொலைகள் மிக கொடூரமான கொலை பிண்ணணி 👇👇👇👇 https://t.co/BocAmiEY5w #tamilyoutuber #tamilnadu #SriLanka #top #corona #gillesderais #tamilcinema… https://t.co/5zWEKQpp2H
54,0,0.0,220 வருட நீண்ட வரலாறு பல தலைவர்கள் ஆட்சி செய்த இடம் இன்றும் ஆவி இருப்பதாக மர்மம் 👇👇👇 https://t.co/5QSdUqhfF2 #corona #SriLanka #tamilyoutuber #madangowri #vikatan #SriLanka #top7 #top10 #elizabeth #whitehouse… https://t.co/pObPUSb90X
55,1,0.4215,Corona safety 😷 #photoshop #photography #Fiverr #Wallpapers #Pixel4a #OnePlus85G #photo #photooftheday #instagramdown https://t.co/NO0WTs43lO
56,1,0.6166,"GET READY GUYS #kgf #kgfchapter2 #tamilyoutuber #tamilnadu #SriLanka #top #corona @ Colombo, Sri Lanka https://t.co/COehadS7uD"
57,1,0.5994,Wedding season mid #corona hype.. congratulations #sanojandrameshika #weddingbells #covid19 #onbreakfromcurfew #backwithcivilisation @ Summerfields https://t.co/P6AlT1slv3
58,0,0.0,The Nuwara Eliya tour became first picnic Corona epidemic. It unforgettable experience months adapt different environments work environment. #nuwaraeliya #afc #722 #3rd #flow #BoysLockdown https://t.co/hfbn5F8bXq
59,0,0.0,"#Rambutan Which corona virus resembles... @ Naranwala, Sri Lanka https://t.co/EgHsFU41wJ"
60,1,0.6696,💭 What I give Corona now! 😉🍺 . #quarantinelife #corona #beer #cocktail #date #night #couplegoals #love #bloggerstyle #fashiongram #lifestyle #srilankancouple #birthday #bday #foodie #foodblogger… https://t.co/l8j7VC6vxt
61,1,0.34,"Curfew Mode.. #corona #sm ♦️ #covid_19 #catsofinstagram @ Rambawewa, Sri Lanka https://t.co/jsBRaq3L2M"
62,1,0.891,""" SRI LANKA The Travel Paradise... "" Make Sri lanka Tour plan Driver Nish. Safe,Comfortable Friendly service Reasonable price. ( To travel safely corona virus )… https://t.co/dOr5flOFNJ"
63,0,0.0,Burying body 6 feet cause corona; Hence keeping body land 6 days congestion won’t cause contagiousness! #politics #coarpse #who #coronaguidelines #lawmakerlawbreaker @AzzamAmeen @RumanaFathima96 @AthaudaDasuni
64,0,0.0,Corona boots! https://t.co/SQLqXjaoXq
65,0,-0.34,Waiting Until Corona Ends 😒☹️. . ° ° ° #fetishmedusa #amsterdamnightlife #hamburgfetishparty #fetishkinkyclinicprague #latroyaibiza #erikalavigna #elyptikaibiza #victoriacaram… https://t.co/ByaSEnqVnL
66,1,0.2023,#corona #covid19 #Mask😷#handmade #safety #home #alone @IAmAlanWalker https://t.co/JDGvb7FUBR
67,1,0.9924,"#😍😍😍😍 . #😍💓💓 . .. . .. . . . #nature #photography #natural #green #blue #love #beauty #corona #covid19 #ticktok @ Addalachenai, Sri Lanka https://t.co/URaxXnhffR"
68,0,0.0,With Corona Protective Shields 😷😷😷😷😷 #worktime #corona #covi̇d19 #coronasafety #protectiveshield #caronavirus #funnyphotos #withfriend #safehumanity @ Negombo https://t.co/deqJZvcCUb
69,1,0.6369,"The best thing one raining let rain. . • Boy Rain • Arugam Bay, Sri Lanka . © 2012 https://t.co/lCywr22dE9 . . #corona #covid19 #rain #rain #letitrain #boy #srilanka #arugambay #travel… https://t.co/dKBenIKnE9"
70,0,-0.765,Colombo town hall sparsely lit deserted . A bizarre irony Vesak day due corona crisis https://t.co/uitj9R3J2w
71,1,0.4588,"Srilanka nights 😍❤️ #missingroaming #travellingdays #srilanka #colombo #lockdown #corona #Day43 @ Colombo, Sri Lanka https://t.co/HWSwY0ggJF"
72,1,0.4767,Stay Strong Against Corona 😷 Stay Safe 🙏 #NewProfilePic 😞 Lockdown #lka #coronavirus #COVIDー19 #CoronaOutbreak #CoronaInSriLanka #Corona #SriLanka https://t.co/sp1LlMQ2XK
73,1,0.717,"Seit über einem Monat der Corona Krise zu Hause eingesperrt, aber ein CoViD Knirps bringt mich nicht schnell ab der ROLLE!! #Radsport #Velo #CoViD19 #fitness #homeworkout #fun https://t.co/o8LHsBkBvT"
74,0,0.0,"#stayhome #corona #garden @ Mirigama, Sri Lanka https://t.co/zl4nmpQJ01"
75,0,0.0,How house disappearing Into vines corona 🌱 @ Cleo Villa https://t.co/q6MA4CzPlk
76,1,0.7845,"Flashback - 2019 ¦ #BaCklog (Before Corona) @tuiuk @flysrilankan omanairofficial #Airport #Airports #Avgeek #CMB Things different post COVID-19, hope opportunity travel stories share not… https://t.co/TZb60sBMAi"
77,1,0.5562,"Do right, even flying solo. 🔱🔛 . . . #dowhatisright #even #ifyouare #flyingsolo #positivity #mindrelaxing #motivationmonday #covid19 #corona #fightforvirus #positiveenergy #lovetheworld #stayathome… https://t.co/Y9xi6zi4hZ"
78,0,0.0,"Almost end #34 day #Lockdown #evening #lka #shotoniphone #timelapse #apartmentlife #corona #covi̇d19 @ Mount Lavinia, Sri Lanka https://t.co/HGtHak60O5"
79,0,0.0,Life 2020 BC (Before Corona) @ Cinnamon Lakeside https://t.co/CN8u6g1Dy5
80,0,0.0,"I switched new hairstyle Corona Period #hairstyles #newstyle #covi̇d19 #corona @ Madige Midiyale, Sri Lanka https://t.co/Cv4Bc4eMd4"
81,1,0.9432,Beware talk one like 😍😍😍😍Story 37 —————————————————————— #crush #corona #quarantine #bitmoji #music #musicvideo #cartoons #friends #icecream #follow4like #likeforlikes #followfollow… https://t.co/GKHGV1Xwan
82,0,-0.25,Corona Hacks... #kattuboyz #corona #srilanka #moment #alone #stillsingle @ Sri Lanka https://t.co/k0X5F3vH4z
83,0,-0.3382,ලේකම් මහත්තයා Mode! #bored #covid #corona #stayhome #staysafe #beard #wtfisthis #secretary #mustasch @ Gampaha https://t.co/LtXfc8LEl2
84,1,0.4588,Corona Intermission 😏 I came home mother bring vegetables fruits. 😁 https://t.co/Od1NG1i8l4
85,1,0.5106,"Lighting Lotus Tower honor Healthcare, Armed Forces, Police support personnel, leading battle COVID-19 🇱🇰❤️🙏 #srilanka #corona #covid19 #lotustower #colombo #stayhome… https://t.co/CfvsawkvFc"
86,0,0.0,#bbq #corona #lockdown #acmarsath @ Kalmunai https://t.co/6d5vYvrb56
87,0,-0.7088,කුඩු රජා Mode! #bored #covid #corona #stayhome #staysafe #beard #wtfisthis #fuck #kolonnawa #bestheroine #drugdealer @ Gampaha https://t.co/QMfkyPZima
88,0,-0.3612,@MahelaJay @KumarSanga2 #vaathiraid#srilanka🇱🇰#mahelajayawardene#thalapathy#master#kumarsangakkara#vaathiyaru#legends #phn#edit#neshvj#quarantine#Corona 💥 https://t.co/QkxKM9zq3q
89,1,0.9485,"If Eyes Positive You Love World, But If Tonuge Positive The World Love you. . . . #covid19 #corona #fightforvirus #positiveenergy #lovetheworld #stayathome #lockdown #prayforworld… https://t.co/CZzzx9kbNb"
90,1,0.3971,Who hell dude.! Is corona style.!! 🤣🤣😜😜🧟‍♂️ @ Karapitiya https://t.co/oIaNwytxLR
91,0,0.0,"The whole world looking medicine, India 🇮🇳 Sri Lanka 🇱🇰 seek religion. #Corona 🦠"
92,1,0.9451,"Both see things differently, New Beginning &amp; Fresh Journey... 🥰🦋😉 #corona #covid19 #quarantine #quarantinelife #lockdown #day16✔️ #lifechange #loveeachother❤️ #alex #tharaka #congratulations🎉 @ Colombo, Sri… https://t.co/MCOfMgea2I"
93,1,0.508,Behave YourSelves To Prevent Corona. කොරෝනා ව්‍යසනයෙන් රටම මුදා ගන්න! වගකීමෙන් යුතුව හැසිරෙන්න. ආයුබෝවන්! #Ayubowan #LetsGetTogetherAgainstCorona #covid19 @ Agosto Cinematography 'n Creations https://t.co/qtF5QIw36e
94,0,0.0,When Corona beer.. https://t.co/BsN9X9RqkO
95,1,0.6841,All Lovely People Stop Corona Virus Desature PLEASE Stay AT Home https://t.co/Uq8GlXxZjD
96,1,0.4588,Covid - 19 . . . #covid19 #corona #fightforvirus #stayathome #lockdown #prayforworld #stayhomechallenge #springiscoming #backtohome #insta #followforfollowback #mnmuneebahmed @mnmuneebahmed #betterlife 😍😉🙌 @… https://t.co/RiKC28mGp8
97,0,0.0,"A break corona... #quarantineblues @ Colombo, Sri Lanka https://t.co/S8P7APoNl0"
98,0,0.0,"#covid_19 #covid19 #covid19LK #covid19SL #corona #srilanka #followforfollowback #followforfollow #follow4followback #likesforlike #likesforlike #likeforfollow @ Nikaweratiya, Sri Lanka https://t.co/NZVrY9M3jT"
99,0,-0.3818,Fight Corona. Not Nana #StopRacism
100,0,-0.8625,"Stuck here. Nowhere go , Shops r closed. Drives 7 km hospital canteen every meal. Stopped army everytime n explain I’m starving death. F u #corona #COVID19SL"
101,0,-0.3182,#day13✔️ Quarantine👻 #corona #quarantine #2020 #hype #mirrors👁️‍🗨️ @ ගාලු අහස යට https://t.co/6tryFJdNBt
102,0,0.0,Corona 🦠 @ Akkaraipattu https://t.co/a0tedoyhYU
103,0,0.0,Once The World Said We Need To See Your Face For The Identification &amp; Now The Whole World Just Covered It. #corona #virus #mask #coronavirus #covıd19 #colombo #SriLanka #TheJourneyBegins #qammaruzzaman @… https://t.co/OcUNpnp719
104,1,0.7269,"Corona virus #covid #covid_19 #coronavirusmemes😂😂😂 #corona #fight #virus #luna #moon #atmoon #usa #china #india #italy #iameranga #2k20 #carfew #homealone #justforfun #srilankan @ Kottawa, Sri Lanka https://t.co/t2ZId7nKZs"
105,0,0.0,"#washyourhands👏 #corona #lka🇱🇰 @ Colombo, Sri Lanka https://t.co/PXEuyi6uNH"
106,1,0.4939,"Self-Quarantined Day 14 : Traveling around house looking capture something #wanderlust #gewategoing #papaya #dying #leaf #sunshine #sunnyday #corona #selfquarantine #covid_19 #srilanka🇱🇰 @ Navinna, Sri Lanka https://t.co/kgYz0rW8ow"
107,0,0.0,"Don't #scroll much! #adobedraw #adobeillustratordraw #digitaldrawing #digitalart #digitalillustration #corona #coronasideeffect #srilanka @ Potupitiya, Sri Lanka https://t.co/Qi4vSsfWEq"
108,0,-0.743,"Dunkannawa, Sri Lanka @ - What next? #covid_19 #corona #irresponsible #commonsense #lockdown #critical #serious #pleasefollowme #srilankan #pandemic #uncertainty #careful #humanity https://t.co/LvTlZMdSo3"
109,0,-0.6509,Corona case 🙁🙁🙁 https://t.co/ujEdC264ml
110,0,0.0,lka Corona. #CurfewDay #Single https://t.co/WbS0YoVCkZ
111,1,0.5849,"Corona outbreak lock country &amp; Avoid unnecessary travel. If seeking consultation mild alignment / medical advice,Pl connect family doctor legitimate secure #Telemedicine facilities. This service absolutely #free registered clients. https://t.co/STQujEKJyI"
112,1,0.8953,"Dear nature !! Please kind enough us 🌿 We need good 🧚 #covid #corona #staysafe #nature #naturephotography #goodenough #shanphotography #shansway #instagood #instagram @ Nikaweratiya, Sri Lanka https://t.co/H584865FVh"
113,1,0.891,"Corona Holidays 😁😁😁 @ Colombo, Sri Lanka https://t.co/Dbuq5tuI50"
114,0,0.0,A small sketch long time #quarantine vibes . . . . #sketching #corona #art #sketch #sketchbook #drawing #pencil #pencildrawing #yukata #kimono #instaart #japaneseart #dailysketching #dailyart #dailysketch… https://t.co/D7ZxNOTFyC
115,0,-0.837,"We NEED help... *SAD NEWS* 😔💔 We without guys! • The Corona Virus became world wide problem. People sick, scared traveling anymore. • As MEF runs income volunteers and… https://t.co/m8HVhihjVR"
116,0,0.0,"DO &amp; DON'T FOR COBID 19 #DO&amp;DON'T #doanddon't #corona #do #don't #covid_19 #covid #besafe #srilanka #covıd19 #කොරෝනා #කොවිඩ්_19 @ Colombo, Sri Lanka https://t.co/v8sm6fVoje"
117,1,0.5106,"කොරෝනා දුන්නේ අවස්ථාවක්,ඔබට පරිසරයට විපරම් කරන්නට🌳 Corona gave chance stay calm listen nature 🌱 @ Hataraliyadda, Sri Lanka https://t.co/ipUdMZuwAM"
118,1,0.7707,Wear Mask Wherever You Go &amp; Do Use Hand Sanitizer Regularly!! Be Safe Guys😷 . . . . #corona #covid #covid_19 #coronasrilanka #mask #facecover #shakthitv #mtvmbc #smrrajh #smrrajhkumar @ MTV MBC Broadcasting Station https://t.co/ieb3SjJhBY
119,1,0.4939,#chillingout #onegalleface #ogf #sundayfunday #relaxing despite #corona outbreak #authentic #london #colombo #srilanka #lka @ One Galle Face https://t.co/cBTPSbmPRu
120,0,0.0,Corona Virus plan: find puppy sunset 🇱🇰 https://t.co/OvgqQuGxgq
121,1,0.6124,Stay Strong Against Corona 😷 Washing hands properly soap &amp; warm water. Stay Safe 🙏 #NewProfilePic 😞 #lka #coronavirus #COVIDー19 #CoronaOutbreak #CoronaInSriLanka #Corona #SriLanka https://t.co/4nqeD4AIeQ
122,0,-0.7096,"#corona #covid_19 #covid excuse waste water. Wash hands water criminal. If really know, may I suggest steps? Step 1) If think tap contaminated, disinfect… https://t.co/ynyp2X0nIS"
123,1,0.6597,Life short stress. Might well enjoy simple things Corona catches us all. Good food finest sporting rivalry action. #roytho #RoyTho2020 #SSC #elephanthousehotdogs… https://t.co/KIXtIhU3Me
124,0,-0.7351,Everyone scared Corona panic buying.. Meanwhile kids give f**k https://t.co/P1v8GC3nrp
125,0,0.0,"Driving away #Corona❌ #CoronaFree #coronavirus #kartrepublic #karting #colombo #SriLanka #kartingsrilanka #birelart #x30 @ Sri Lanka Karting Circuit, Bandaragama https://t.co/yV8kwAHmwx"
126,0,-0.6705,It forbidden lslam buy something needed community amounts cause harm others. We rewarded avoiding hoarding essentials patient absencce essentials. #covid19 #Corona #CoronaVirusUpdate
127,0,0.0,Ordered China cleaning corona virus 🦠 #corona #coronagoaway #foryou #coronavirüsü 😷 🤒 🤧 @ Sri Lanka https://t.co/FuB4Ra49Oo
128,1,0.4404,Stay Safe Everyone 😐 #staysafe #corona #safesrilanka @ Sri Lanka https://t.co/ZgS3FuzByB
129,1,0.7003,Corona Virus - COVID19 Update - 11 March 2020 . Hope everyone safe. Follow health instructions given health ministries health organisations country. . Follow @Srilanka_TandT more… https://t.co/k864nAFnVg
130,1,0.4939,👋😷 Corona https://t.co/NnEf9HSL14
131,1,0.7096,@KolithaBee Lol. Do want I promised IKEA still worried bring Corona? I brought anyway 😀
132,1,0.3818,This How Protect Against Corona vairus @ Negombo https://t.co/OObjKxrAoO
133,0,0.0,#coronarovirus #Corona #coronaviruschina https://t.co/Ew59g3Mlw2
134,0,0.0,#corona #live #update @ IDH Base Hospital https://t.co/j4lej86O99
135,1,0.4404,Chilling All time favorite Corona @ Galadari Hotel https://t.co/qWvQN3mOgE
136,1,0.7885,GOD WE NEED CLEAN AIR 💨 💨follow @suwaskar 💨 #suwaskar #clean #air #nature #mask #corona #virus #china #sad #god #pollution #twitter #srilanka #science #oilpainting #quotes #meme #photooftheday #fashionblogger #trendy https://t.co/mREt5fSUEH
137,0,-0.7269,"Is Bio Warfare ?#biowarfare #corona #war #safeworld #china #usa @ Colombo, Sri Lanka https://t.co/pKAxJhoSgZ"
138,1,0.1027,"Fighting Corona 😂 (@ District General Hospital Gampaha Gampaha, Western Province) https://t.co/4CjX2X7Qgb"
139,0,-0.0258,"Chilling corona extra @ Boralesgomuwa, Sri Lanka https://t.co/DEJ6llvGLh"
140,1,0.6369,"Theatre, Corona Pizza Nights 💜 #thebestkindofnights #datenights… https://t.co/5fAMKf9rPI"
141,1,0.4767,Abolish Milo. Cheers Beers. #AbolishMilo #Pizza #beer #LionGB #WildApple #Corona @ Sanmark https://t.co/v1vwSaOWs3
142,0,0.0,Corona chill #anyday #chill #Corona #instagood #instapic @ Closenberg Hotel https://t.co/IpTwYssWmr
143,1,0.6486,Daddy cool corona ☺️ @ Saketha Beach https://t.co/xEVUkoRd5t
144,1,0.4404,Can life get better? #weekend #beach #beer #family #corona #somersby @ Galle Face Hotel https://t.co/zvKJtofMlP
145,0,0.0,"We're cheese toast, fish cutlets, apple cider Corona (@ Steuart Citrus Colombo 01) https://t.co/uiXWxdgkAg"
146,1,0.8402,Corona 😎😎😎 @ Chop Sticks https://t.co/37u9PgLLDi
147,0,0.0,@BeulahGuna Corona Beer 🍺😉
148,0,0.0,Chills bestie manula_ransika #srilanka2015 #corona #dabest @ OZO Colombo Sri Lanka http://t.co/s1L96bDJzm
149,1,0.8176,Da best :3 johnny.cooper3 yew #corona #srilanka2015 #bluewaterresort @ The Blue Water Resort http://t.co/Dbmlj4KZZX
150,1,0.4767,Having Corona friends negombo beach @ Negombo Beach http://t.co/YMVgmO4G9n
151,0,0.0,9:48 sippin corona
152,1,0.8402,"#corona 😁😁😁 @ AVANI Kalutara Resort, Sri Lanka http://t.co/Ie4UwNgDIm"
153,0,0.0,Drinking corona Charitha Subasinhe @ SLAF golf club
154,0,0.0,The wake box #corona #srilanka #happysrilankans @ Havelocks Sports Club http://t.co/EgZQBMllxa
155,1,0.9153,"Chillin' beach, Corona hand, good music :) #bliss #happyplace #beach #SriLanka @ The Shore… http://t.co/AN7IAVnvvO"
156,1,0.4019,#Last #Sunday #of #the #year #2013 #party #mood #activated #haveing #the #corona #Extra #beer &amp;… http://t.co/F5QM80Cq4t
157,0,-0.6281,Ah miss sip Corona too. Want bring home atleast. But dad !!! :/
158,1,0.6369,#love #corona #beer http://t.co/M5ptnZf8Ep
159,1,0.7574,#Tuesday #Friends #corona #bullfrog #cheers #goodtimes @ The Floor By O! http://t.co/o6Dz6BPa99
160,0,-0.4449,Don't #DrinkandDrive #Hahaha #HappensAllTheTime #WhoAmIKidding #Corona @ Nugegoda http://t.co/EAc4319P3K
161,0,0.0,#Corona gives wings. #InyourfaceRedBull @ Nugegoda http://t.co/rpgCx7Zm3J
162,0,-0.8007,@AnjulaMalshan oops !!! Tough times seems. Damn also wanted bring pack corona home drink. Badly.
163,1,0.5744,I miss corona. Wish could bring home listening fav music. But dad !!!!
164,0,-0.1531,@AnjulaMalshan @Nuwan_Prasanna @MeawPancha hmm. I miss corona too.
165,1,0.5574,Today's Corona Happiness @ Sugar Bistro And Wine Bar http://t.co/2TohdO5atL
166,1,0.4404,Is good place cmb Corona?
167,1,0.5622,End 24 hr shift CAN ANYBODY SUGGEST A GOOD BAR OR A PUB IN CMB TO HAVE A CORONA AND CHILL.. For normal price.
168,0,0.0,The world Corona... @ Colombo Fort Café http://t.co/2C714r4Z2s
169,1,0.6369,"Who needs Corona got Lion? Sunset drinks best. @ The Terrace, Galle Face Hotel http://t.co/mZdz50Fv"
170,1,0.5562,After day's work! #corona #beer #tgif @ Diyawanna Gardens http://t.co/G9A4uaR
171,0,0.0,"Right abt nw, e girl, chilled #Corona, cabin e lake, sme fishing gear & power ballads...I make Sunday...pure Gold!"
172,1,0.296,iOS 5.0.1 Untethered Jailbreak Using Redsn0w 0.9.10b1 Or Corona 5.0.1 Yeah..:)
173,0,0.0,Corona anyone? (@ Colombo Swimming Club) http://4sq.com/mSjqgf
174,0,-0.6808,"@ravirannaneliya ""Researchers analysing samples meanwhile uncovered lineage Covid-19 (B1411) native Sri Lanka, continued."" This much scarier. B 1.258 detected foreign returnee, locally infected person, community leak per see."
